Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
02/02/2012,SnowmanIII,Summary of Proposed Investment,31081,Loan,SNOWMAN LOGISTICS LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,03/03/2012,,,6.64,,6.64,IN,01/18/2021 09:37:00 PM
01/24/2012,Pragati Fund,Summary of Proposed Investment,31707,Equity,PRAGATI INDIA FUND LIMITED,India,IND,Financial Institutions,FI,Disruptive Technologies and Funds,Active,02/23/2012,,,,20,20,IN,01/18/2021 09:37:00 PM
01/23/2012,SRLL,Summary of Proposed Investment,31463,Equity,SRL LIMITED,India,IND,Infrastructure,B,Regional Industry - MAS Asia & Pac,Active,02/22/2012,,,,24.53,24.53,IN,01/18/2021 09:37:00 PM
12/23/2011,Laxmi Organic,Summary of Proposed Investment,31384,Loan,LAXMI ORGANIC INDUSTRIES LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Completed,01/31/2012,,,10,10,20,IN,01/18/2021 09:37:00 PM
11/11/2011,IMGC India,Summary of Proposed Investment,29300,Equity,India Mortgage Guarantee Corporation Private Limited,India,IND,Infrastructure,C,"Global Industry, Financial Markets",Active,12/13/2011,,,,8.6,8.6,IN,01/18/2021 09:37:00 PM
11/10/2011,Zephyr India III,Summary of Proposed Investment,31470,Equity,ZEPHYR PEACOCK INDIA FUND III LIMITED,India,IND,Infrastructure,FI,Disruptive Technologies and Funds,Active,12/20/2011,,,,15,15,IN,01/18/2021 09:37:00 PM
10/12/2011,Microqual,Summary of Proposed Investment,31279,Loan,MICROQUAL TECHNO LIMITED,India,IND,Financial Institutions,B,Gbl Infrastructure & Natural Resources,Hold,11/30/2011,,,10,15,25,IN,01/18/2021 09:37:00 PM
09/21/2011,Ambit Pragma II,Summary of Proposed Investment,30962,Equity,APF II INDIA HOLDINGS PVT LTD,India,IND,Financial Institutions,FI,Disruptive Technologies and Funds,Active,11/03/2011,,,,20,20,IN,01/18/2021 09:37:00 PM
09/16/2011,Forum Synergies,Summary of Proposed Investment,27589,Equity,INDIA KNOWLEDGE MANUFACTURING COMPANY,India,IND,Financial Institutions,FI,Disruptive Technologies and Funds,Active,10/21/2011,,,,15,15,IN,01/18/2021 09:37:00 PM
08/23/2011,OSL Kochi,Summary of Proposed Investment,31166,Loan,SPARKLE PORT SERVICES LIMITED,India,IND,"Tourism, Retail, and Property",B,Regional Industry - INF Asia & Pac,Active,09/22/2011,,,11.34,,11.34,IN,01/18/2021 09:37:00 PM
08/22/2011,Cosmo IV,Summary of Proposed Investment,30018,Loan,COSMO FILMS LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,12/05/2011,,,20,,20,IN,01/18/2021 09:37:00 PM
08/11/2011,Granules II,Summary of Proposed Investment,31253,Loan,GRANULES INDIA LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,09/12/2011,,,10,,10,IN,01/18/2021 09:37:00 PM
08/02/2011,Axis Bank Ltd.,Summary of Proposed Investment,29773,Loan,AXIS BANK LIMITED,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,09/01/2011,,,35,,35,IN,01/18/2021 09:37:00 PM
07/21/2011,FinCo,Summary of Proposed Investment,29843,Equity,Tata Cleantech Capital Limited,India,IND,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Active,08/31/2011,,,,5.13,5.13,IN,01/18/2021 09:37:00 PM
07/06/2011,Vortex,Summary of Proposed Investment,31068,Equity,VORTEX ENGINEERING PRIVATE LIMITED,India,IND,Infrastructure,C,"Global Industry, Financial Markets",Active,08/30/2011,,,,2.76,2.76,IN,01/18/2021 09:37:00 PM
06/30/2011,Bhilwara Green Energy Limited,Summary of Proposed Investment,30765,Loan,BHILWARA GREEN ENERGY LIMITED,India,IND,"Tourism, Retail, and Property",B,Regional Industry - INF Asia & Pac,Active,09/15/2011,,,15,,15,IN,01/18/2021 09:37:00 PM
05/16/2011,Magma Fincorp Limited,Summary of Proposed Investment,30569,Equity,MAGMA FINCORP LIMITED,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Active,06/16/2011,,,,45,45,IN,01/18/2021 09:37:00 PM
05/03/2011,NSL Power,Summary of Proposed Investment,29912,Equity,NSL RENEWABLE POWER PRIVATE LIMITED,India,IND,Financial Institutions,A,Gbl Infrastructure &amp; Natural Resources,Active,07/07/2011,,,0,25,25,IN,01/18/2021 09:37:00 PM
05/03/2011,Paradeep Phosphates Limited,Summary of Proposed Investment,30658,Loan,PARADEEP PHOSPHATES LIMITED,India,IND,Infrastructure,B,Regional Industry - MAS Asia & Pac,Completed,06/08/2011,,,50,,50,IN,01/18/2021 09:37:00 PM
05/03/2011,Vishwa Infra,Summary of Proposed Investment,30859,Loan,VISHWA INFRASTRUCTURES AND SERVICES PRIVATE LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - INF Asia & Pac,Active,06/03/2011,,,5,,5,IN,01/18/2021 09:37:00 PM
04/28/2011,Jain NBFC,Summary of Proposed Investment,30598,Equity,Sustainable Agro-Commercial Finance Limited,India,IND,Infrastructure,FI,Regional Industry - FIG Asia & Pac,Active,06/06/2011,,,,4.44,4.44,IN,01/18/2021 09:37:00 PM
04/15/2011,Vivimed,Summary of Proposed Investment,30585,Loan,VIVIMED LABS LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Active,05/31/2011,,,20,,20,IN,01/18/2021 09:37:00 PM
04/01/2011,Dunar Foods Limited,Summary of Proposed Investment,30252,Equity,DUNAR FOODS LIMITED,India,IND,Infrastructure,B,Regional Industry - MAS Asia & Pac,Active,05/02/2011,,,,20,20,IN,01/18/2021 09:37:00 PM
03/31/2011,Aavishkaar MSME,Summary of Proposed Investment,30711,Equity,AAVISHKAAR INDIA II COMPANY LTD,India,IND,Infrastructure,FI,Disruptive Technologies and Funds,Active,05/30/2011,,,,15,15,IN,01/18/2021 09:37:00 PM
03/11/2011,Techno Wind,Summary of Proposed Investment,30400,Loan,Simran Wind Project Limited,India,IND,Financial Institutions,B,Regional Industry - INF Asia & Pac,Completed,04/15/2011,,,39.92,0.17,40.09,IN,01/18/2021 09:37:00 PM
03/04/2011,Shalivahana,Summary of Proposed Investment,30231,Loan,SHALIVAHANA GREEN ENERGY LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,04/15/2011,,,15,15,30,IN,01/18/2021 09:37:00 PM
