Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
12/29/2008,MSETCL,Summary of Proposed Investment,27519,Loan,MAHARASHTRA STATE ELECTRICITY TRANSMISSION COMPANY LIMITED,India,IND,Financial Institutions,B,Regional Industry - INF Asia & Pac,Completed,03/05/2009,,,50,,50,IN,01/18/2021 09:37:00 PM
12/19/2008,Jain-II,Summary of Proposed Investment,27624,Loan,JAIN IRRIGATION SYSTEMS LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Active,01/23/2009,,,30,14.22,44.22,IN,01/18/2021 09:37:00 PM
10/30/2008,Himadri,Summary of Proposed Investment,27560,Risk Management,Himadri Speciality Chemical Limited,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,12/04/2008,21.5,,25,,46.5,IN,01/18/2021 09:37:00 PM
10/24/2008,Dishman India,Summary of Proposed Investment,27580,Loan,DISHMAN PHARMACEUTICALS AND CHEMICALS LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,11/24/2008,,,15,,15,IN,01/18/2021 09:37:00 PM
09/25/2008,Avigo PE Investments Ltd.,Summary of Proposed Investment,27524,Equity,AVIGO PE INVESTMENTS LTD,India,IND,Financial Institutions,FI,Disruptive Technologies and Funds,Active,10/30/2008,,,,20,20,IN,01/18/2021 09:37:00 PM
07/30/2008,Waterhealth India Private Limited,Summary of Proposed Investment,27215,Loan,WATERHEALTH INDIA PRIVATE LIMITED,India,IND,Financial Institutions,B,Regional Industry - INF Asia & Pac,Active,09/02/2008,,,15,0,15,IN,01/18/2021 09:37:00 PM
07/03/2008,HIKAL,Summary of Proposed Investment,27317,Loan,HIKAL LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,08/04/2008,,,15,18.73,33.73,IN,01/18/2021 09:37:00 PM
06/30/2008,OceanSparkle III,Summary of Proposed Investment,27021,Equity,OCEAN SPARKLE LIMITED,India,IND,Financial Institutions,B,Gbl Infrastructure &amp; Natural Resources,Active,07/30/2008,,,,9.43,9.43,IN,01/18/2021 09:37:00 PM
06/20/2008,DSCL Bharuch Expansion,Summary of Proposed Investment,27161,Risk Management,DCM SHRIRAM LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,07/31/2008,4,,50,,54,IN,01/18/2021 09:37:00 PM
05/28/2008,Modern Dairies Limited,Summary of Proposed Investment,26947,Loan,MODERN DAIRES LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,06/27/2008,,,8.5,6.94,15.44,IN,01/18/2021 09:37:00 PM
05/20/2008,Polycab,Summary of Proposed Investment,26794,Equity,POLYCAB WIRES PRIVATE LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Active,06/19/2008,,,0,139.36,139.36,IN,01/18/2021 09:37:00 PM
04/21/2008,Midas,Summary of Proposed Investment,26978,Equity,Midas Communication Technologies Private Limited,India,IND,Financial Institutions,B,Gbl Infrastructure & Natural Resources,Completed,05/21/2008,,,,15,15,IN,01/18/2021 09:37:00 PM
04/16/2008,India Agri Fund,Summary of Proposed Investment,26768,Equity,INDIA AGRI BUSINESS FUND LIMITED,India,IND,Financial Institutions,FI,Regional Industry - MAS Asia & Pac,Active,05/16/2008,,,,20.01,20.01,IN,01/18/2021 09:37:00 PM
04/11/2008,"Connectiva Systems, Inc. (India)",Summary of Proposed Investment,27146,Equity,CONNECTIVA SYSTEMS (INDIA) PRIVATE LIMITED,India,IND,Financial Institutions,C,Gbl Infrastructure & Natural Resources,Completed,05/29/2008,,,,5,5,IN,01/18/2021 09:37:00 PM
04/07/2008,Kamani Oils,Summary of Proposed Investment,26530,Equity,AAK KAMANI PRIVATE LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,05/07/2008,,,,6.35,6.35,IN,01/18/2021 09:37:00 PM
03/31/2008,Cairn India II,Summary of Proposed Investment,26763,Loan,Cairn Energy Hydrocarbons Limited,India,IND,Financial Institutions,A,Gbl Infrastructure & Natural Resources,Completed,05/30/2008,,,250,,250,IN,01/18/2021 09:37:00 PM
03/11/2008,Samson,Summary of Proposed Investment,26817,Loan,SAMSON MARITIME LIMITED,India,IND,Financial Institutions,B,Gbl Infrastructure &amp; Natural Resources,Completed,04/11/2008,,,24,6.23,30.23,IN,01/18/2021 09:37:00 PM
02/19/2008,Idea Cellular,Summary of Proposed Investment,25545,Loan,IDEA CELLULAR LIMITED,India,IND,other,B,"TMT, Venture Capital &amp; Funds",Completed,03/20/2008,,,100,,100,IN,01/18/2021 09:37:00 PM
02/12/2008,Rockland,Summary of Proposed Investment,26248,Equity,ROCKLAND HOSPITALS LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,03/27/2008,,,,13.71,13.71,IN,01/18/2021 09:37:00 PM
01/04/2008,APF - I (Mauritius) Limited,Summary of Proposed Investment,26469,Equity,APF I (MAURITIUS) LIMITED,India,IND,Financial Institutions,FI,"TMT, Venture Capital &amp; Funds",Active,02/04/2008,,,,15,15,IN,01/18/2021 09:37:00 PM
12/20/2007,HNG Float,Summary of Proposed Investment,25932,Loan,HNG FLOAT GLASS LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,01/21/2008,,,20,5,25,IN,01/18/2021 09:37:00 PM
12/07/2007,AllainDuhanganII,Summary of Proposed Investment,26500,Loan,AD HYDRO POWER LIMITED,India,IND,Financial Institutions,A,Regional Industry - INF Asia & Pac,Active,02/07/2008,,,31.84,10,41.84,IN,01/18/2021 09:37:00 PM
12/04/2007,Meghmani Finechem Limited,Summary of Proposed Investment,25463,Loan,MEGHMANI FINECHEM LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,01/08/2008,,,20,13.56,33.56,IN,01/18/2021 09:37:00 PM
11/30/2007,Punj Upstream Phase One,Summary of Proposed Investment,26470,Loan,PUNJ LLOYD UPSTREAM LIMITED,India,IND,Financial Institutions,B,Regional Industry - INF Asia & Pac,Active,01/02/2008,,,25,5,30,IN,01/18/2021 09:37:00 PM
11/27/2007,Tata Ultra Mega,Summary of Proposed Investment,25797,Loan,COASTAL GUJARAT POWER LIMITED,India,IND,Financial Institutions,A,Regional Industry - INF Asia & Pac,Completed,03/27/2008,,,450,,450,IN,01/18/2021 09:37:00 PM
11/07/2007,Rain CDG,Summary of Proposed Investment,26609,Risk Management,RAIN CII CARBON (VIZAG) LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,12/07/2007,39,,,,39,IN,01/18/2021 09:37:00 PM
10/17/2007,Lifetree,Summary of Proposed Investment,26502,Equity,TECNOTREE CONVERGENCE PRIVATE LIMITED,India,IND,Financial Institutions,C,Gbl Infrastructure & Natural Resources,Completed,11/19/2007,,,,20,20,IN,01/18/2021 09:37:00 PM
09/20/2007,Macquarie India Infrastructure Opportunities Fund,Summary of Proposed Investment,26334,Equity,Macquarie SBI Infrastructure Trust,India,IND,Financial Institutions,FI,Regional Industry - INF Asia & Pac,Active,11/01/2007,,,,150,150,IN,01/18/2021 09:37:00 PM
09/05/2007,Punj Lloyd Corporate Finance,Summary of Proposed Investment,25903,Loan,PUNJ-LLOYD LIMITED,India,IND,Financial Institutions,B,Regional Industry - INF Asia & Pac,Active,10/15/2007,,,50,,50,IN,01/18/2021 09:37:00 PM
08/31/2007,Angel Infin Pvt Ltd,Summary of Proposed Investment,26395,Equity,Angel Broking LIMITED,India,IND,Financial Institutions,C,Regional Industry - FIG Asia & Pac,Active,10/04/2007,,,,37.52,37.52,IN,01/18/2021 09:37:00 PM
08/24/2007,India Infr. Fund,Summary of Proposed Investment,26237,Equity,INDIA INFRASTRUCTURE FUND,India,IND,Financial Institutions,FI,Regional Industry - INF Asia & Pac,Active,09/27/2007,,,,100,100,IN,01/18/2021 09:37:00 PM
08/10/2007,Jain Irrigation,Summary of Proposed Investment,24485,Loan,JAIN IRRIGATION SYSTEMS LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Active,09/10/2007,,,30,,30,IN,01/18/2021 09:37:00 PM
08/09/2007,The South Indian Bank Limited,Summary of Proposed Investment,26384,Equity,THE SOUTH INDIAN BANK LIMITED,India,IND,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Completed,09/10/2007,,,,18,18,IN,01/18/2021 09:37:00 PM
05/31/2007,Owens Corning II,Summary of Proposed Investment,26038,Loan,OWENS CORNING INDUSTRIES (INDIA) PRIVATE LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,07/03/2007,,,12,,12,IN,01/18/2021 09:37:00 PM
05/24/2007,Samara Capital Partners Ltd,Summary of Proposed Investment,25790,Equity,SAMARA CAPITAL PARTNERS FUND I LIMITED,India,IND,Financial Institutions,FI,Disruptive Technologies and Funds,Active,06/25/2007,,,,10,10,IN,01/18/2021 09:37:00 PM
05/21/2007,Aloe Environment Fund 2,Summary of Proposed Investment,25549,Equity,GREEN INVESTMENT ASIA SUSTAINABILITY FUND I,India,IND,other,FI,Disruptive Technologies and Funds,Active,07/02/2007,,,,19.21,19.21,IN,01/18/2021 09:37:00 PM
05/03/2007,Granules,Summary of Proposed Investment,25947,Loan,GRANULES INDIA LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,06/04/2007,,,9,6,15,IN,01/18/2021 09:37:00 PM
04/13/2007,GSPL,Summary of Proposed Investment,25637,Loan,GUJARAT STATE PETRONET LIMITED,India,IND,other,B,Regional Industry - INF Asia & Pac,Completed,05/17/2007,,,74.67,30,104.67,IN,01/18/2021 09:37:00 PM
04/04/2007,Petronet,Summary of Proposed Investment,24902,Loan,PETRONET LNG LIMITED,India,IND,other,B,Regional Industry - INF Asia & Pac,Active,05/10/2007,,,150,50,200,IN,01/18/2021 09:37:00 PM
03/16/2007,Lanco Amarkantak Thermal Power Station,Summary of Proposed Investment,24880,Equity,LANCO AMARKANTAK POWER PRIVATE LIMITED,India,IND,other,A,Gbl Infrastructure &amp; Natural Resources,Completed,05/17/2007,,,,8,8,IN,01/18/2021 09:37:00 PM
03/16/2007,Kanoria Chem,Summary of Proposed Investment,25015,Loan,KANORIA CHEMICALS AND INDUSTRIES LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,04/16/2007,,,15,5,20,IN,01/18/2021 09:37:00 PM
03/13/2007,Max Phase II,Summary of Proposed Investment,25805,Equity,MAX HEALTHCARE INSTITUTE LIMITED,India,IND,Financial Institutions,B,"Gbl Ind, Manufact, Agribus &amp; Services",Active,05/10/2007,,,,67.14,67.14,IN,01/18/2021 09:37:00 PM
03/13/2007,Electrotherm,Summary of Proposed Investment,25849,Loan,ELECTROTHERM (INDIA) LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,04/16/2007,,,25,,25,IN,01/18/2021 09:37:00 PM
03/05/2007,The Avigo SME Fund II,Summary of Proposed Investment,25638,Equity,AVIGO VENTURE INVESTMENTS LIMITED,India,IND,other,FI,Disruptive Technologies and Funds,Active,04/11/2007,,,,10,10,IN,01/18/2021 09:37:00 PM
02/27/2007,MSPL Limited,Summary of Proposed Investment,25115,Loan,MSPL LIMITED,India,IND,other,B,Regional Industry - INF Asia & Pac,Completed,03/30/2007,,,33,,33,IN,01/18/2021 09:37:00 PM
02/27/2007,Balrampur II,Summary of Proposed Investment,25819,Loan,BALRAMPUR CHINI MILLS LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,03/29/2007,,,40,,40,IN,01/18/2021 09:37:00 PM
02/26/2007,Aavishkaar,Summary of Proposed Investment,25980,Equity,AAVISHKAAR GOODWELL INDIA MICROFINANCE DEVELOPMENT COMPANY LIMITED,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Active,03/29/2007,,,,5,5,IN,01/18/2021 09:37:00 PM
02/12/2007,VenturEast Proactive Fund,Summary of Proposed Investment,25576,Equity,VENTUREAST PROACTIVE FUND LLC,India,IND,other,FI,"TMT, Venture Capital &amp; Funds",Active,03/14/2007,,,,15,15,IN,01/18/2021 09:37:00 PM
02/07/2007,KMB UT2,Summary of Proposed Investment,25800,Loan,KOTAK MAHINDRA BANK LIMITED,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,03/14/2007,,,45,,45,IN,01/18/2021 09:37:00 PM
02/05/2007,West Coast Paper,Summary of Proposed Investment,24711,Loan,THE WEST COAST PAPER MILLS LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,04/16/2007,,,40,,40,IN,01/18/2021 09:37:00 PM
01/16/2007,BHSIL,Summary of Proposed Investment,25554,Loan,Bajaj Hindusthan Sugar Limited,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,02/16/2007,,,50,,50,IN,01/18/2021 09:37:00 PM
11/27/2006,Moser Baer PV,Summary of Proposed Investment,25017,Loan,Moser Baer Photovoltaic Limited,India,IND,other,B,Regional Industry - MAS Asia & Pac,Active,12/28/2006,,,22.5,,22.5,IN,01/18/2021 09:37:00 PM
10/27/2006,ICICI Bank UT2,Summary of Proposed Investment,25492,Loan,ICICI BANK LIMITED,India,IND,other,FI,Regional Industry - FIG Asia & Pac,Completed,12/07/2006,,,150,,150,IN,01/18/2021 09:37:00 PM
09/26/2006,Cairn India,Summary of Proposed Investment,25474,Equity,CAIRN INDIA LIMITED,India,IND,other,B,Gbl Infrastructure &amp; Natural Resources,Completed,10/26/2006,,,,50,50,IN,01/18/2021 09:37:00 PM
09/14/2006,Tata Tea,Summary of Proposed Investment,25074,Equity,Amalgamated Plantations Private Limited,India,IND,other,B,Regional Industry - MAS Asia & Pac,Active,10/16/2006,,,,7.87,7.87,IN,01/18/2021 09:37:00 PM
09/07/2006,OCL India Ltd.,Summary of Proposed Investment,24668,Loan,OCL INDIA LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,10/09/2006,,,50,,50,IN,01/18/2021 09:37:00 PM
09/07/2006,Financial Information Network & Operations Pvt. Ltd.,Summary of Proposed Investment,25309,Equity,FINO PAYTECH LIMITED,India,IND,other,C,"Global Industry, Financial Markets",Active,10/09/2006,,,,5,5,IN,01/18/2021 09:37:00 PM
09/05/2006,Ocean Sparkle II,Summary of Proposed Investment,25169,Loan,OCEAN SPARKLE LIMITED,India,IND,other,B,Gbl Infrastructure &amp; Natural Resources,Active,10/05/2006,,,25.44,,25.44,IN,01/18/2021 09:37:00 PM
09/05/2006,HDFC Bank UT2,Summary of Proposed Investment,25444,Loan,HDFC BANK LIMITED,India,IND,other,FI,"Global Industry, Financial Markets",Completed,10/05/2006,,,100,,100,IN,01/18/2021 09:37:00 PM
07/21/2006,Suguna,Summary of Proposed Investment,25065,Loan,Suguna Foods Private Limited,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,09/20/2006,,,17.76,11.25,29.01,IN,01/18/2021 09:37:00 PM
04/27/2006,Ocimum Bio,Summary of Proposed Investment,24830,Loan,OCIMUM BIOSOLUTIONS LTD,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,06/06/2006,,,2.6,3.9,6.5,IN,01/18/2021 09:37:00 PM
04/03/2006,Continental Carbon of India Limited II,Summary of Proposed Investment,24066,Loan,CONTINENTAL CARBON INDIA LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,05/03/2006,,,7,2,9,IN,01/18/2021 09:37:00 PM
03/31/2006,ABC Coffee,Summary of Proposed Investment,24444,Loan,COFFEE DAY GLOBAL LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,05/02/2006,,,10,5,15,IN,01/18/2021 09:37:00 PM
03/10/2006,LGB,Summary of Proposed Investment,24787,Loan,L.G. BALAKRISHNAN & BROS LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,04/30/2006,,,15,5,20,IN,01/18/2021 09:37:00 PM
03/07/2006,Atul Ltd,Summary of Proposed Investment,20509,Loan,ATUL LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,04/15/2006,,,17.5,5,22.5,IN,01/18/2021 09:37:00 PM
02/24/2006,DCM Shriram Consolidated Limited - II,Summary of Proposed Investment,24732,Loan,DCM SHRIRAM LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,03/24/2006,,,15,,15,IN,01/18/2021 09:37:00 PM
01/31/2006,JK Paper Ltd.,Summary of Proposed Investment,24171,Loan,JK PAPER LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,03/02/2006,,,15,11.5,26.5,IN,01/18/2021 09:37:00 PM
01/27/2006,iLabs Fund II,Summary of Proposed Investment,24705,Equity,PEEPUL CAPITAL FUND II LLC,India,IND,other,FI,Disruptive Technologies and Funds,Active,02/02/2006,,,,20,20,IN,01/18/2021 09:37:00 PM
12/14/2005,Lok Microfinance,Summary of Proposed Investment,24331,Equity,LOK CAPITAL LLC,India,IND,other,FI,"Global Industry, Financial Markets",Completed,01/21/2006,,,,2,2,IN,01/18/2021 09:37:00 PM
12/12/2005,PSL Limited,Summary of Proposed Investment,24535,Loan,PSL LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,01/11/2006,,,15,5,20,IN,01/18/2021 09:37:00 PM
11/30/2005,Federal Bank,Summary of Proposed Investment,24493,Loan,THE FEDERAL BANK LIMITED,India,IND,other,FI-1,"Global Industry, Financial Markets",Active,01/05/2006,,,10,40,50,IN,01/18/2021 09:37:00 PM
11/11/2005,INCaF Enercon Wind,Summary of Proposed Investment,522093,,Enercon (India) Ltd.,India,IND,Infrastructure,B,Climate Business Department,Completed,12/12/2005,,,,,,IN,01/18/2021 09:37:00 PM
10/29/2005,INCaF IHDC Small Hydros,Summary of Proposed Investment,531872,,IHDC DODSON LINDBLOM HYDRO POWER PVT LTD,India,IND,Infrastructure,C,Climate Business Department,Completed,11/27/2005,,,,,,IN,01/18/2021 09:37:00 PM
09/26/2005,Indecomm Corporation,Summary of Proposed Investment,24549,Equity,Indecomm Global Services (India) Private Limited,India,IND,other,C,Gbl Infrastructure & Natural Resources,Completed,10/26/2005,,,,2.6,2.6,IN,01/18/2021 09:37:00 PM
08/08/2005,IAL,Summary of Proposed Investment,24354,Equity,IAC INTERNATIONAL AUTOMOTIVE INDIA PRIVATE LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,09/08/2005,,,,9.96,9.96,IN,01/18/2021 09:37:00 PM
07/05/2005,Apollo equity,Summary of Proposed Investment,24406,Equity,APOLLO HOSPITALS ENTERPRISE LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,08/04/2005,,,,20,20,IN,01/18/2021 09:37:00 PM
06/16/2005,Dodson-Lindblom Hydropower Private Limited,Summary of Proposed Investment,23833,Loan,IHDC DODSON LINDBLOM HYDRO POWER PVT LTD,India,IND,other,B,Gbl Infrastructure &amp; Natural Resources,Completed,07/25/2005,,,17,,17,IN,01/18/2021 09:37:00 PM
05/26/2005,KPIT,Summary of Proposed Investment,24126,Loan,KPIT Technologies Limited,India,IND,other,C,Gbl Infrastructure & Natural Resources,Completed,06/24/2005,,,11,2.5,13.5,IN,01/18/2021 09:37:00 PM
05/10/2005,Ramky Infrastructure,Summary of Proposed Investment,23966,Loan,RAMKY INFRASTRUCTURE LIMITED,India,IND,other,B,Regional Industry - INF Asia & Pac,Completed,06/06/2005,,,4,11,15,IN,01/18/2021 09:37:00 PM
04/29/2005,Dabur Pharma,Summary of Proposed Investment,23821,Equity,DABUR PHARMACEUTICAL LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,06/01/2005,,,,15,15,IN,01/18/2021 09:37:00 PM
04/05/2005,IDFC II,Summary of Proposed Investment,22065,Loan,IDFC LIMITED,India,IND,other,FI,"Global Industry, Financial Markets",Completed,05/12/2005,,,50,,50,IN,01/18/2021 09:37:00 PM
03/04/2005,Tata Iron and Steel Company Limited,Summary of Proposed Investment,24077,Loan,TATA STEEL LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,04/29/2005,,,100,,100,IN,01/18/2021 09:37:00 PM
02/04/2005,URL Expansion,Summary of Proposed Investment,24083,Loan,TILDA RICELAND PRIVATE LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,03/17/2005,,,8.5,,8.5,IN,01/18/2021 09:37:00 PM
11/30/2004,DCM Consolidated,Summary of Proposed Investment,23385,Loan,DCM SHRIRAM LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,01/07/2005,,,30,,30,IN,01/18/2021 09:37:00 PM
10/27/2004,Cosmo II,Summary of Proposed Investment,23245,Equity,COSMO FILMS LIMITED,India,IND,other,C,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,11/29/2004,,,,4.23,4.23,IN,01/18/2021 09:37:00 PM
09/17/2004,APIDC Biotech,Summary of Proposed Investment,22892,Equity,APIDC Biotechnology Venture Fund,India,IND,other,FI,Regional Industry - MAS Asia & Pac,Active,10/24/2004,,,,4,4,IN,01/18/2021 09:37:00 PM
06/24/2004,Bharat Biotech,Summary of Proposed Investment,22787,Equity,BHARAT BIOTECH INTERNATIONAL LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Active,07/30/2004,,,,4.5,4.5,IN,01/18/2021 09:37:00 PM
05/20/2004,EOFI TurboTech,Summary of Proposed Investment,522661,,UNKNOWN,India,IND,Infrastructure,B,Advisory Services,Completed,06/21/2004,,,,,,IN,01/18/2021 09:37:00 PM
05/19/2004,CMScomputers,Summary of Proposed Investment,23353,Loan,C M S Computers Institute,India,IND,other,C,Gbl Infrastructure & Natural Resources,Completed,06/20/2004,,,10,12.5,22.5,IN,01/18/2021 09:37:00 PM
04/09/2004,Rain Calcining Expansion,Summary of Proposed Investment,23012,Loan,RAIN CII CARBON (VIZAG) LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,05/14/2004,,,10,,10,IN,01/18/2021 09:37:00 PM
03/26/2004,Kotak Mahindra Bank,Summary of Proposed Investment,22061,Loan,KOTAK MAHINDRA BANK LIMITED,India,IND,other,FI,Regional Industry - FIG Asia & Pac,Completed,04/26/2004,,,22,,22,IN,01/18/2021 09:37:00 PM
02/19/2004,Ruchi Soya,Summary of Proposed Investment,21652,Loan,RUCHI SOYA INDUSTRIES LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,03/21/2004,,,10,10,20,IN,01/18/2021 09:37:00 PM
02/17/2004,AP Paper Mills,Summary of Proposed Investment,21499,Loan,INTERNATIONAL PAPER APPM LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,05/01/2004,,,35,5,40,IN,01/18/2021 09:37:00 PM
11/24/2003,Crompton Greaves Ltd.,Summary of Proposed Investment,21594,Loan,CROMPTON GREAVES LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,12/29/2003,,,25,,25,IN,01/18/2021 09:37:00 PM
08/29/2003,BALLARPUR INDUSTRIES LIMITED,Summary of Proposed Investment,20798,Loan,BALLARPUR INDUSTRIES LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Active,09/29/2003,,,15,0,15,IN,01/18/2021 09:37:00 PM
08/11/2003,AD Hydro Power Limited,Summary of Proposed Investment,11632,Loan,AD HYDRO POWER LIMITED,India,IND,other,A,Gbl Infrastructure &amp; Natural Resources,Active,10/31/2003,,,40,7,47,IN,01/18/2021 09:37:00 PM
07/28/2003,Sundaram Finance,Summary of Proposed Investment,21313,Loan,SUNDARAM FINANCE LIMITED,India,IND,other,FI-1,Regional Industry - FIG Asia & Pac,Completed,08/21/2003,,,43.61,,43.61,IN,01/18/2021 09:37:00 PM
06/02/2003,Tala Transmision,Summary of Proposed Investment,20350,Loan,POWERLINKS TRANSMISSION LIMITED,India,IND,other,B,Regional Industry - INF Asia & Pac,Completed,07/31/2003,,,75,,75,IN,01/18/2021 09:37:00 PM
04/15/2003,Larsen & Toubro,Summary of Proposed Investment,20549,Loan,LARSEN AND TOUBRO LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,05/30/2003,,,50,,50,IN,01/18/2021 09:37:00 PM
04/14/2003,Balrampur Chini Mills Ltd.,Summary of Proposed Investment,20625,Loan,BALRAMPUR CHINI MILLS LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,05/15/2003,,,15,,15,IN,01/18/2021 09:37:00 PM
03/04/2003,HDFC - Loan,Summary of Proposed Investment,10784,Loan,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,India,IND,other,C,"Global Industry, Financial Markets",Completed,04/03/2003,,,150,,150,IN,01/18/2021 09:37:00 PM
01/07/2003,Birla Home Finance,Summary of Proposed Investment,11762,Loan,First Blue Home Finance Limited,India,IND,other,C,Regional Industry - FIG Asia & Pac,Completed,02/08/2003,,,20.63,,20.63,IN,01/18/2021 09:37:00 PM
12/30/2002,Dewan Housing Finance Corporation Ltd.,Summary of Proposed Investment,11755,Loan,DEWAN HOUSING FINANCE CORPORATION LIMITED,India,IND,other,FI-1,"Global Industry, Financial Markets",Completed,01/31/2003,,,12.56,,12.56,IN,01/18/2021 09:37:00 PM
12/20/2002,Niko Resources,Summary of Proposed Investment,11697,Loan,Niko Resources Ltd,India,IND,other,B,Gbl Infrastructure &amp; Natural Resources,Completed,01/20/2003,,,40,,40,IN,01/18/2021 09:37:00 PM
12/20/2002,Dataquest Management and Communications Ltd.,Summary of Proposed Investment,20269,Loan,DQ ENTERTAINMENT (INTERNATIONAL) LIMITED,India,IND,other,C,"TMT, Venture Capital &amp; Funds",Completed,01/21/2003,,,1.5,1.5,3,IN,01/18/2021 09:37:00 PM
12/03/2002,GEF PVMTI Selco,Summary of Proposed Investment,520305,,UNKNOWN,India,IND,Infrastructure,C,Sustainable Business Advisory Dept,Completed,01/06/2003,,,,,,IN,01/18/2021 09:37:00 PM
07/18/2002,Leapfrog Accelerator LLC,Summary of Proposed Investment,11613,Equity,NewPath Ventures LLC,India,IND,other,C,"TMT, Venture Capital &amp; Funds",Completed,08/22/2002,,,,20,20,IN,01/18/2021 09:37:00 PM
05/28/2002,Apollo Tyres,Summary of Proposed Investment,11434,Loan,APOLLO TYRES LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,06/28/2002,,,20,,20,IN,01/18/2021 09:37:00 PM
04/15/2002,Usha Beltron Limited,Summary of Proposed Investment,11408,Loan,USHA MARTIN LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,05/30/2002,,,21,3.6,24.6,IN,01/18/2021 09:37:00 PM
04/11/2002,Cosmo Films Limited,Summary of Proposed Investment,11001,Loan,COSMO FILMS LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,05/17/2002,,,10,,10,IN,01/18/2021 09:37:00 PM
04/04/2002,Mahindra Farm Services,Summary of Proposed Investment,11230,Equity,MAHINDRA AGRI SOLUTIONS LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,05/29/2002,,,,2.2,2.2,IN,01/18/2021 09:37:00 PM
